8013,1962,1,2,3,7079
8014,1962,1,3,4,7080
8015,1962,1,4,5,7081
8016,1962,1,5,6,7082
8017,1962,1,8,2,7085
8018,1962,1,9,3,7086
8019,1962,1,10,4,7087
8020,1962,1,11,5,7088
8021,1962,1,12,6,7089
8022,1962,1,15,2,7092
8023,1962,1,16,3,7093
8024,1962,1,17,4,7094
8025,1962,1,18,5,7095
8026,1962,1,19,6,7096
8027,1962,1,22,2,7099
8028,1962,1,23,3,7100
8029,1962,1,24,4,7101
8030,1962,1,25,5,7102
8031,1962,1,26,6,7103
8032,1962,1,29,2,7106
8033,1962,1,30,3,7107
8034,1962,1,31,4,7108
8035,1962,2,1,5,7109
8036,1962,2,2,6,7110
8037,1962,2,5,2,7113
8038,1962,2,6,3,7114
8039,1962,2,7,4,7115
8040,1962,2,8,5,7116
8041,1962,2,9,6,7117
8042,1962,2,12,2,7120
8043,1962,2,13,3,7121
8044,1962,2,14,4,7122
8045,1962,2,15,5,7123
8046,1962,2,16,6,7124
8047,1962,2,19,2,7127
8048,1962,2,20,3,7128
8049,1962,2,21,4,7129
8050,1962,2,23,6,7131
8051,1962,2,26,2,7134
8052,1962,2,27,3,7135
8053,1962,2,28,4,7136
8054,1962,3,1,5,7137
8055,1962,3,2,6,7138
8056,1962,3,5,2,7141
8057,1962,3,6,3,7142
8058,1962,3,7,4,7143
8059,1962,3,8,5,7144
8060,1962,3,9,6,7145
8061,1962,3,12,2,7148
8062,1962,3,13,3,7149
8063,1962,3,14,4,7150
8064,1962,3,15,5,7151
8065,1962,3,16,6,7152
8066,1962,3,19,2,7155
8067,1962,3,20,3,7156
8068,1962,3,21,4,7157
8069,1962,3,22,5,7158
8070,1962,3,23,6,7159
8071,1962,3,26,2,7162
8072,1962,3,27,3,7163
8073,1962,3,28,4,7164
8074,1962,3,29,5,7165
8075,1962,3,30,6,7166
8076,1962,4,2,2,7169
8077,1962,4,3,3,7170
8078,1962,4,4,4,7171
8079,1962,4,5,5,7172
8080,1962,4,6,6,7173
8081,1962,4,9,2,7176
8082,1962,4,10,3,7177
8083,1962,4,11,4,7178
