1,DJI,Dow Jones Industrial Average
2,NDQ,Nasdaq 100
3,SPO,S&P 100
4,SPF,S&P 400
5,SPX,S&P 500
6,SPS,S&P 600
7,DJT,Dow Jones Transports
8,DJU,Dow Jones Utilities
9,DJC,Dow Jones Composite
10,RUS,Russell 1000
11,RUT,Russell 2000
