1,NYQ,NYSE
2,NMS,NasdaqGS
3,NGM,NasdaqGM
4,ASE,NYSE MKT
5,PCX,NYSEArca
6,NAS,NasdaqCM
7,BTS,BATS
8,OTC,OTCQX
9,PNK,Other OTC
